,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-act,Python
50,ml-ademamix,Python
51,ml-afv,Python
52,ml-agm,Python
53,ml-aim,Python
54,ml-all-pairs,Python
55,ml-ane-transformers,Python
56,ml-aspanformer,Python
57,ml-aura,Python
58,ml-autofocusformer,Python
59,ml-autofocusformer-segmentation,Python
60,ml-batchquant,Python
61,ml-behavioral-testing-for-mt,
62,ml-bilevel-train-dist,Python
63,ml-calibration,Jupyter Notebook
64,ml-capsules-inverted-attention-routing,Python
65,ml-cifar-10-faster,Python
66,ml-code-switched-speech-translation,Python
67,ml-codeswitching-translations,
68,ml-collegial-ensembles,Python
69,ml-compress-and-compare,Python
70,ml-core,Python
71,ml-covid-mobility,R
72,ml-cread,Python
73,ml-cross-entropy,Python
74,ml-cvnets,Python
75,ml-cvpr2019-swd,Python
76,ml-dab,Python
77,ml-data-parameters,Python
78,ml-delphi,
79,ml-depth-pro,Python
80,ml-destseg,Python
81,ml-diffusion-alignment-gflownet,Python
82,ml-direct2.5,Python
83,ml-divide-or-conquer,Python
84,ml-dms-dataset,Python
85,ml-dprecs,Jupyter Notebook
86,ml-dr,Python
87,ml-duet,Python
88,ml-entity-deduction-arena,Python
89,ml-entropy-reconstruction,Python
90,ml-envmapnet,Python
91,ml-equivariant-neural-rendering,Jupyter Notebook
92,ml-facelit,Python
93,ml-famae,Python
94,ml-fastvit,Python
95,ml-fct,Python
96,ml-ferret,Python
97,ml-finerecon,Python
98,ml-flair,Jupyter Notebook
99,ml-gaudi,
100,ml-gendered-translation,Ruby
101,ml-gmpi,Python
102,ml-gsn,Python
103,ml-hd-gist,Python
104,ml-heart-rate-models,Python
105,ml-hierarchical-confusion-matrix,TypeScript
106,ml-hugs,Python
107,ml-hypercloning,Python
108,ml-hypersim,Python
109,ml-interspeech2022-phi_rtn,
110,ml-jointnet,Python
111,ml-key-retrieval-code-tasks,Python
112,ml-keyframer,JavaScript
113,ml-kg-mt,Python
114,ml-kge,Python
115,ml-knowledge-conflicts,Python
116,ml-kpconvx,Python
117,ml-live-pose,
118,ml-llarp,Python
119,ml-lucid-datagen,Python
120,ml-mad-bench,Jupyter Notebook
121,ml-mcf,Python
122,ml-mdm,Python
123,ml-mgie,Python
124,ml-mia-bench,Jupyter Notebook
125,ml-MixupMP,Python
126,ml-mkqa,Python
127,ml-mobileclip,Python
128,ml-mobileone,Swift
129,ml-mofi,Python
130,ml-multiple-futures-prediction,Python
131,ml-mycelium,JavaScript
132,ml-ncg,Python
133,ml-negative-sampling,Python
134,ml-neilf,Python
135,ml-neilfpp,Python
136,ml-neuman,Python
137,ml-no-token-left-behind,Jupyter Notebook
138,ml-np-rasp,Python
139,ml-nvas3d,Python
140,ml-ogen,Python
141,ml-pgdvs,Python
142,ml-planner,Python
143,ml-pointconvformer,Python
144,ml-pointersect,Python
145,ml-probabilistic-attention,Python
146,ml-projunit,Python
147,ml-qrecc,Python
148,ml-quant,Python
149,ml-recurrent-drafter,Python
150,ml-reed,Python
151,ml-rlgrad,Python
152,ml-robust-expert-augmentations,Python
153,ml-rpm-bench,Python
154,ml-sad,Python
155,ml-sampleplan,Python
156,ml-selfcond,Python
157,ml-shuffling-amplification,Python
158,ml-sigma-reparam,Python
159,ml-sigmoid-attention,Python
160,ml-slowfast-llava,Python
161,ml-spatial-librispeech,
162,ml-speech-is-more-than-words,
163,ml-spin,Python
164,ml-stable-diffusion,Python
165,ml-stabledreamer,
166,ml-stuttering-events-dataset,Python
167,ml-superposition-prompting,Python
168,ml-symphony,Svelte
169,ml-tic-clip,Python
170,ml-toad,Python
171,ml-tract,Python
172,ml-transcript-translation-consistency-ratings,
173,ml-translate-vis,TypeScript
174,ml-tree-dst,Python
175,ml-tune-mode-convbn,Python
176,ml-tweak,Python
177,ml-upscale,Jupyter Notebook
178,ml-uwac,Python
179,ml-veclip,Jupyter Notebook
180,ml-vfi-smiff,Python
181,ml-vfm-kt,
182,ml-vision-transformers-ane,Python
183,music-feed-examples,Java
184,openjdk,Java
185,password-manager-resources,JavaScript
186,pfl-research,Jupyter Notebook
187,pkl,Java
188,pkl-evolution,
189,pkl-go,Go
190,pkl-go-examples,Go
191,pkl-intellij,Kotlin
192,pkl-jvm-examples,Groovy
193,pkl-k8s,Pkl
194,pkl-k8s-examples,
195,pkl-lang.org,JavaScript
196,pkl-lsp,Kotlin
197,pkl-neovim,Scheme
198,pkl-package-docs,Kotlin
199,pkl-pantry,Pkl
200,pkl-project-commons,
201,pkl-spring,Java
202,pkl-swift,Swift
203,pkl-swift-examples,Swift
204,pkl-vscode,TypeScript
205,pkl.tmbundle,
206,pytorch-speech-features,Python
207,rules_pkl,Starlark
208,sample-backyard-birds,Swift
209,sample-cloudkit-coredatasync,Swift
210,sample-cloudkit-encryption,Swift
211,sample-cloudkit-privatedb,Swift
212,sample-cloudkit-privatedb-sync,Swift
213,sample-cloudkit-queries,Swift
214,sample-cloudkit-sharing,Swift
215,sample-cloudkit-sync-engine,Swift
216,sample-cloudkit-tooling,JavaScript
217,sample-cloudkit-zonesharing,Swift
218,sample-food-truck,Swift
219,security-pcc,Swift
220,servicetalk,Java
221,swift-3-api-guidelines-review,Swift
222,swift-algorithms,Swift
223,swift-argument-parser,Swift
224,swift-asn1,Swift
225,swift-async-algorithms,Swift
226,swift-async-dns-resolver,Swift
227,swift-atomics,Swift
228,swift-cassandra-client,Swift
229,swift-certificates,Swift
230,swift-clang,C++
231,swift-clang-tools-extra,C++
232,swift-cluster-membership,Swift
233,swift-cmake-examples,CMake
234,swift-collections,Swift
235,swift-collections-benchmark,Swift
236,swift-compiler-rt,C
237,swift-container-plugin,Swift
238,swift-crypto,C
239,swift-distributed-actors,Swift
240,swift-distributed-tracing,Swift
241,swift-distributed-tracing-baggage-core,Swift
242,swift-distributed-tracing-extras,Swift
243,swift-embedded-examples,Swift
244,swift-evolution-staging,Swift
245,swift-for-wasm-examples,Swift
246,swift-getting-started-cli,Swift
247,swift-getting-started-package-library,Swift
248,swift-homomorphic-encryption,Swift
249,swift-homomorphic-encryption-protobuf,
250,swift-http-structured-headers,Swift
251,swift-http-types,Swift
252,swift-internals,HTML
253,swift-issues,
254,swift-libcxx,C++
255,swift-llbuild2,Swift
256,swift-lldb,C++
257,swift-llvm,LLVM
258,swift-log,Swift
259,swift-matter-examples,Swift
260,swift-metrics,Swift
261,swift-metrics-extras,Swift
262,swift-migration-guide,Markdown
263,swift-mmio,Swift
264,swift-nio,Swift
265,swift-nio-examples,Swift
266,swift-nio-extras,Swift
267,swift-nio-http2,Swift
268,swift-nio-imap,Swift
269,swift-nio-nghttp2-support,Swift
270,swift-nio-oblivious-http,Swift
271,swift-nio-ssh,Swift
272,swift-nio-ssl,C
273,swift-nio-ssl-support,Swift
274,swift-nio-transport-services,Swift
275,swift-nio-zlib-support,Swift
276,swift-numerics,Swift
277,swift-openapi-generator,Swift
278,swift-openapi-runtime,Swift
279,swift-openapi-urlsession,Swift
280,swift-playdate-examples,Swift
281,swift-protobuf,Swift
282,swift-protobuf-plugin,
283,swift-protobuf-test-conformance,
284,swift-sample-distributed-actors-transport,Swift
285,swift-service-context,Swift
286,swift-service-discovery,Swift
287,swift-standard-library-preview,Swift
288,swift-statsd-client,Swift
289,swift-string-processing-benchmarks,Swift
290,swift-system,Swift
291,swift-tools-support-async,Swift
292,swift-xcode-playground-support,Swift
293,swiftpm-on-llbuild2,Swift
294,tensor-visualizer,Svelte
295,tensorflow_macos,Shell
296,ToolSandbox,Python
297,tree-sitter-pkl,C
298,turicreate,C++
299,unityplugins,C#
300,VideoFlashingReduction,Mathematica
301,vqg-multimodal-assistant,Python
